context_length,packing,block_size,layers,calibrated_layer_compute_ms,estimated_layer_budget_cost,no_bootstrap_final_budget,dynamic_bootstraps,dynamic_bootstrap_layers,fixed_bootstraps,dynamic_total_ms,fixed_total_ms,dynamic_vs_fixed_speedup
4,block-wise,2,12,10.941458523273468,7.448289214233104,90.62052942920275,0,none,2,131.29750227928162,60131.29750227928,457.97746688565786
4,block-wise,4,12,10.78429102897644,6.898289214233104,97.22052942920274,0,none,2,129.41149234771729,60129.41149234772,464.6373394009342
4,token-wise,1,12,16.35508358478546,8.548289214233103,77.42052942920276,0,none,2,196.26100301742554,60196.261003017426,306.715343738831
8,block-wise,2,12,21.60012549161911,8.675488750216346,75.89413499740385,0,none,2,259.2015058994293,60259.20150589943,232.48013662883622
8,block-wise,4,12,21.629520177841187,7.575488750216347,89.09413499740384,0,none,2,259.55424213409424,60259.554242134094,232.165553321999
8,token-wise,1,12,32.164979159832,10.875488750216347,49.49413499740385,0,none,2,385.979749917984,60385.979749917984,156.44856954995507
16,block-wise,2,12,44.59454041719437,11.01311942618755,47.84256688574939,0,none,2,535.1344850063324,60535.13448500633,113.12134833599819
16,block-wise,4,12,43.4575217962265,8.81311942618755,74.2425668857494,0,none,2,521.490261554718,60521.49026155472,116.05488102715879
16,token-wise,1,12,66.5218957066536,15.413119426187551,-4.95743311425062,1,10,2,30798.262748479843,60798.26274847984,1.974080916349113
