context_length,packing,block_size,end_to_end_ms_mean,end_to_end_ms_std,compute_ms_mean,encrypt_ms_mean,decrypt_ms_mean,ciphertext_mb_mean,cache_ciphertexts_mean,ct_ct_mul_ops_mean,slot_sum_ops_mean,mask_mul_ops_mean,score_l2_error_mean,score_linf_error_mean,score_mean_abs_error_mean
4,block-wise,2,18.08131319284439,0.03167276660005771,10.941458523273468,6.490750670433044,0.6491039991378784,1.3365965,2.0,2.0,4.0,4.0,5.262993241027785e-06,3.222082965825823e-06,2.5858328508675255e-06
4,block-wise,4,14.649936437606812,0.12807466314314647,10.78429102897644,3.21875,0.6468954086303711,0.6681,1.0,1.0,4.0,4.0,4.280965797787941e-06,2.7248343553720744e-06,2.0811145239364726e-06
4,token-wise,1,26.508646070957184,1.525731510428313,16.35508358478546,8.844562590122223,1.3089998960494995,1.6711895,4.0,4.0,4.0,0.0,4.840081730292328e-06,2.5179734342017923e-06,2.4182867529656815e-06
8,block-wise,2,35.95075064897537,0.17671389649235564,21.60012549161911,13.058228969573975,1.2923961877822876,2.673991,4.0,4.0,8.0,8.0,7.090829139751616e-06,3.3117171910901355e-06,2.4465050082898756e-06
8,block-wise,4,29.44399780035019,0.002771323876985326,21.629520177841187,6.516312062740326,1.2981655597686768,1.336452,2.0,2.0,8.0,8.0,5.832313943490471e-06,2.9537737608609227e-06,1.986384678736826e-06
8,token-wise,1,49.224415957927704,0.5138278245302582,32.164979159832,14.48564612865448,2.573790669441223,3.009097,8.0,8.0,8.0,0.0,6.806931759275101e-06,2.569021433418417e-06,2.40449567790184e-06
16,block-wise,2,74.03297698497772,0.3852820439144569,44.59454041719437,26.76541578769684,2.6730207800865173,5.348942,8.0,8.0,16.0,16.0,9.687148875238445e-06,3.566184087477886e-06,2.359838108587152e-06
16,block-wise,4,59.16752314567566,0.29565879360476927,43.4575217962265,13.10089522600174,2.609106123447418,2.674593,4.0,4.0,16.0,16.0,7.982787413720394e-06,3.115165928435637e-06,1.9190612620991463e-06
16,token-wise,1,100.63351595401764,2.213213117367945,66.5218957066536,28.78449648618698,5.327123761177063,5.682204,16.0,16.0,16.0,0.0,9.613765121197552e-06,2.6295611444959732e-06,2.4014296700922773e-06
