context_length,trial,packing,block_size,d_head,poly_modulus_degree,slots,modulus_chain_bits,global_scale_bits,encrypt_ms,compute_ms,decrypt_ms,serialize_ms,end_to_end_ms,ciphertext_bytes,cache_ciphertexts,query_ciphertexts,score_ciphertexts,ct_ct_mul_ops,slot_sum_ops,mask_mul_ops,score_l2_error,score_linf_error,score_mean_abs_error
4,0,token-wise,1,16,8192,4096,200,40,8.461793065071106,14.936832666397095,1.3428739309310913,5.902624130249023,24.741499662399292,1671192.0,4.0,1.0,4.0,4.0,4.0,0.0,1.190230479773358e-06,6.535692587614217e-07,5.932589103572507e-07
4,0,block-wise,2,16,8192,4096,200,40,6.6991249322891235,9.774833083152771,0.6573328971862793,5.035956978797913,17.131290912628174,1337485.0,2.0,2.0,4.0,2.0,4.0,4.0,7.192040034162661e-07,4.2926743524032696e-07,3.513603388091355e-07
8,0,token-wise,1,16,8192,4096,200,40,14.460042834281921,27.90383219718933,2.471917152404785,10.332709074020386,44.83579218387604,3009041.0,8.0,1.0,8.0,8.0,8.0,0.0,1.6849014810953178e-06,6.868544497884432e-07,5.92419574739966e-07
8,0,block-wise,2,16,8192,4096,200,40,13.092374920845032,19.443415999412537,1.2632073163986206,9.364710092544556,33.79899823665619,2674969.0,4.0,4.0,8.0,4.0,8.0,8.0,1.0688691924673065e-06,5.458528075652502e-07,3.514035179720716e-07
