context_length,packing,block_size,end_to_end_ms_mean,end_to_end_ms_std,compute_ms_mean,encrypt_ms_mean,decrypt_ms_mean,ciphertext_mb_mean,cache_ciphertexts_mean,ct_ct_mul_ops_mean,slot_sum_ops_mean,mask_mul_ops_mean,score_l2_error_mean,score_linf_error_mean,score_mean_abs_error_mean
4,block-wise,2,17.131290912628174,,9.774833083152771,6.6991249322891235,0.6573328971862793,1.337485,2.0,2.0,4.0,4.0,7.192040034162661e-07,4.2926743524032696e-07,3.513603388091355e-07
4,token-wise,1,24.741499662399292,,14.936832666397095,8.461793065071106,1.3428739309310913,1.671192,4.0,4.0,4.0,0.0,1.190230479773358e-06,6.535692587614217e-07,5.932589103572507e-07
8,block-wise,2,33.79899823665619,,19.443415999412537,13.092374920845032,1.2632073163986206,2.674969,4.0,4.0,8.0,8.0,1.0688691924673065e-06,5.458528075652502e-07,3.514035179720716e-07
8,token-wise,1,44.83579218387604,,27.90383219718933,14.460042834281921,2.471917152404785,3.009041,8.0,8.0,8.0,0.0,1.6849014810953178e-06,6.868544497884432e-07,5.92419574739966e-07
