context_length,trial,softmax_proxy_degree,context_l2_error,context_linf_error
4,0,2,0.04653020848005388,0.020530506948143526
4,0,3,0.012533717549063553,0.0055662686569763475
8,0,2,0.06597743733802865,0.030174308997628352
8,0,3,0.021469888137975762,0.009426384192873033
