context_length,packing,block_size,layers,calibrated_layer_compute_ms,estimated_layer_budget_cost,no_bootstrap_final_budget,dynamic_bootstraps,dynamic_bootstrap_layers,fixed_bootstraps,dynamic_total_ms,fixed_total_ms,dynamic_vs_fixed_speedup
4,block-wise,2,12,9.774833083152771,7.448289214233104,90.62052942920275,0,none,2,117.29799699783325,60117.29799699783,512.5176860275656
4,token-wise,1,12,14.936832666397095,8.548289214233103,77.42052942920276,0,none,2,179.24199199676514,60179.241991996765,335.74298813351083
8,block-wise,2,12,19.443415999412537,8.675488750216346,75.89413499740385,0,none,2,233.32099199295044,60233.32099199295,258.1564585230841
8,token-wise,1,12,27.90383219718933,10.875488750216347,49.49413499740385,0,none,2,334.845986366272,60334.84598636627,180.18685737020863
