context_length,trial,packing,block_size,d_head,poly_modulus_degree,slots,modulus_chain_bits,global_scale_bits,encrypt_ms,compute_ms,decrypt_ms,serialize_ms,end_to_end_ms,ciphertext_bytes,cache_ciphertexts,query_ciphertexts,score_ciphertexts,ct_ct_mul_ops,slot_sum_ops,mask_mul_ops,score_l2_error,score_linf_error,score_mean_abs_error
4,2,block-wise,4,16,8192,4096,200,40,3.3984588384628296,9.623831987380981,0.6373330354690552,1.9620009660720825,13.659623861312866,668245.0,1.0,1.0,4.0,1.0,4.0,4.0,1.8931672354153555e-06,1.1076204078919183e-06,9.359328713258452e-07
4,2,block-wise,8,16,8192,4096,200,40,3.313250184059143,9.592291951179504,0.6460410356521606,2.152751088142395,13.551583170890808,668306.0,1.0,1.0,4.0,1.0,4.0,4.0,1.9004117911895486e-06,1.16915773390458e-06,9.353182605122135e-07
8,0,token-wise,1,16,8192,4096,200,40,14.723334908485413,27.708749413490295,2.525251030921936,10.184625267982483,44.957335352897644,3008759.0,8.0,1.0,8.0,8.0,8.0,0.0,3.5202424644961344e-06,1.348470134665547e-06,1.2403966441615344e-06
8,0,block-wise,2,16,8192,4096,200,40,13.118706703186035,19.6207492351532,1.2570854425430298,8.491501092910767,33.99654138088226,2674387.0,4.0,4.0,8.0,4.0,8.0,8.0,4.917712235201708e-06,2.367100126354771e-06,1.654643846792092e-06
8,0,block-wise,4,16,8192,4096,200,40,6.621831893920898,19.201416015625,1.2919151782989502,4.427207946777344,27.11516308784485,1337102.0,2.0,2.0,8.0,2.0,8.0,8.0,3.7198221591629543e-06,1.9867399558837207e-06,1.2040458180068159e-06
8,0,block-wise,8,16,8192,4096,200,40,3.2858331203460693,20.307294011116028,1.2852493524551392,2.4713339805603027,24.878376483917236,668473.0,1.0,1.0,8.0,1.0,8.0,8.0,3.919699329910402e-06,1.9932322856686113e-06,1.2688015276693387e-06
8,1,token-wise,1,16,8192,4096,200,40,14.764458775520325,27.96825075149536,2.540042996406555,10.894917964935303,45.27275252342224,3008498.0,8.0,1.0,8.0,8.0,8.0,0.0,3.3418350296212146e-06,1.2540201634880788e-06,1.1808161661324389e-06
8,1,block-wise,2,16,8192,4096,200,40,13.128082036972046,19.682583928108215,1.2864580154418945,8.252251744270325,34.097123980522156,2674269.0,4.0,4.0,8.0,4.0,8.0,8.0,3.6117928368226428e-06,1.696296880349113e-06,1.26075558603677e-06
8,1,block-wise,4,16,8192,4096,200,40,6.646374821662903,19.380250930786133,1.2894591093063354,4.0642499923706055,27.31608486175537,1336908.0,2.0,2.0,8.0,2.0,8.0,8.0,2.46108274603703e-06,1.3147584849160232e-06,8.432927764124264e-07
8,1,block-wise,8,16,8192,4096,200,40,3.3061251640319824,20.43233323097229,1.3050405979156494,2.4513328075408936,25.043498992919922,668781.0,1.0,1.0,8.0,1.0,8.0,8.0,2.478761327410875e-06,1.265530481076027e-06,8.543282571395715e-07
